WadeInstrFirst,Gender,WadeGPA,Instructors,ICESRating,Subject,WadeInstrLast,GrayInstrFirst,CRN,Salary,ICESTA,Course
m,NONE,3.3,"M,Nowak;",NONE,CS,nowak,,74478,,,128
,NONE,NONE,"M,Nowak;",NONE,CS,,,75244,,,128
b,NONE,3.16,"B,Cosman;",NONE,CS,cosman,,30102,,,173
,NONE,NONE,"B,Cosman;",NONE,CS,,,72280,,,173
b,NONE,3.07,"B,Cosman;",NONE,CS,cosman,,40083,,,173
,NONE,NONE,"B,Cosman;",NONE,CS,,,72281,,,173
,NONE,NONE,"G,Challen;",NONE,CS,,,70754,,,199
,NONE,NONE,"G,Challen;",NONE,CS,,,67084,,,199
,NONE,NONE,"M,Nowak;",NONE,CS,,,56131,,,199
,NONE,NONE,"B,Cosman;",NONE,CS,,,55189,,,199
,NONE,NONE,"G,Challen;",NONE,CS,,,69687,,,199
,NONE,NONE,"C,Evans;B,Solomon;",EXCELLENT,CS,,,40944,,False,199
,NONE,NONE,"G,Challen;",NONE,CS,,,69686,,,199
,NONE,NONE,"L,Angrave;",NONE,CS,,,69688,,,199
,NONE,NONE,"C,Lewis;",NONE,CS,,,31515,,,199
,NONE,NONE,"C,Lewis;",NONE,CS,,,63523,,,199
,NONE,NONE,"G,Challen;",NONE,CS,,,55186,,,199
,NONE,NONE,"N,Amato;C,Lewis;",NONE,CS,,,31511,,,199
,NONE,NONE,"G,Challen;",NONE,CS,,,56567,,,199
r,NONE,3.7,"R,Cunningham;",NONE,CS,cunningham,,31516,,,210
,NONE,NONE,"G,Winter;",NONE,CS,,,77707,,,211
r,NONE,3.76,"R,Cunningham;",EXCELLENT,CS,cunningham,,74483,,False,211
m,NONE,3.92,"M,Woodley;",NONE,CS,woodley,,74484,,,222
,NONE,NONE,"C,Evans;S,Jain;A,Porath;B,Solomon;",EXCELLENT,CS,,,65054,,False,225
,NONE,NONE,"C,Evans;B,Solomon;N,Vajrala;G,Xue;",EXCELLENT,CS,,,61264,,True,225
,NONE,NONE,"C,Evans;M,Farley;S,Gomber;B,Solomon;",EXCELLENT,CS,,,35926,,False,225
,NONE,NONE,"C,Evans;Y,Ge;X,Jin;B,Solomon;",EXCELLENT,CS,,,35923,,False,225
,NONE,NONE,"S,Agrawal;C,Evans;B,Solomon;W,Wang;",EXCELLENT,CS,,,35944,,True,225
,NONE,NONE,"M,Chen;C,Evans;A,Potluri;B,Solomon;",EXCELLENT,CS,,,58757,,False,225
,NONE,NONE,"Z,Chen;C,Evans;U,Kakarla;B,Solomon;",EXCELLENT,CS,,,62137,,False,225
,NONE,NONE,"C,Evans;S,Khosla;K,McNamara;B,Solomon;",EXCELLENT,CS,,,58758,,True,225
,NONE,NONE,"S,Chinthakindi;C,Evans;B,Solomon;A,Wang;",EXCELLENT,CS,,,35947,,True,225
g,NONE,3.67,"C,Evans;B,Solomon;",EXCELLENT,CS,evans,,35917,,False,225
,NONE,NONE,"C,Evans;B,Solomon;",EXCELLENT,CS,,,72271,,False,225
,NONE,NONE,"S,Ghose;G,Herman;",EXCELLENT,CS,,,64547,,False,233
,NONE,NONE,"S,Ghose;G,Herman;",EXCELLENT,CS,,,63740,,False,233
g,NONE,3.69,"S,Ghose;G,Herman;",EXCELLENT,CS,herman,,63733,,False,233
g,NONE,3.55,"S,Ghose;G,Herman;",EXCELLENT,CS,herman,,64513,,False,233
,NONE,NONE,"S,Ghose;G,Herman;",EXCELLENT,CS,,,72275,,False,233
,NONE,NONE,"S,Ghose;G,Herman;",EXCELLENT,CS,,,72276,,False,233
,NONE,NONE,"S,Ghose;G,Herman;",EXCELLENT,CS,,,64548,,False,233
,NONE,NONE,"M,Viswanathan;",NONE,CS,,,77587,,,307
,NONE,NONE,"M,Viswanathan;",NONE,CS,,,77586,,,307
w,NONE,3.29,"W,Fagen-Ulmschneider;",EXCELLENT,CS,fagen-ulmschnei,,77096,,False,340
,NONE,NONE,"L,Angrave;S,Gowtham;",EXCELLENT,CS,,,76768,,True,341
,NONE,NONE,"L,Angrave;P,Guo;",EXCELLENT,CS,,,76769,,False,341
,NONE,NONE,"L,Angrave;A,Raghunandan;",EXCELLENT,CS,,,76770,,False,341
,NONE,NONE,"L,Angrave;A,Raghunandan;",EXCELLENT,CS,,,76771,,False,341
,NONE,NONE,"L,Angrave;E,Fan;",EXCELLENT,CS,,,76772,,True,341
,NONE,NONE,"L,Angrave;E,Fan;",EXCELLENT,CS,,,76773,,True,341
,NONE,NONE,"L,Angrave;T,Tao;",EXCELLENT,CS,,,76775,,False,341
,NONE,NONE,"L,Angrave;P,Guo;",EXCELLENT,CS,,,76776,,False,341
,NONE,NONE,"L,Angrave;J,Schuler;",EXCELLENT,CS,,,76777,,False,341
,NONE,NONE,"L,Angrave;T,Tao;",EXCELLENT,CS,,,76778,,False,341
l,NONE,3.61,"L,Angrave;",EXCELLENT,CS,angrave,,76767,,False,341
,NONE,NONE,"L,Angrave;",EXCELLENT,CS,,,77652,,False,341
m,NONE,3.56,"M,Silva;",NONE,CS,silva,,53280,,,357
m,NONE,3.48,"M,Silva;",NONE,CS,silva,,63536,,,357
m,NONE,3.7,"M,Silva;",NONE,CS,silva,,77740,,,357
,NONE,NONE,"H,Liu;Z,Long;",EXCELLENT,CS,,,72361,,True,361
,NONE,NONE,"A,Karan;H,Liu;",EXCELLENT,CS,,,66306,,True,361
,NONE,NONE,"A,Karan;H,Liu;",EXCELLENT,CS,,,66307,,True,361
,NONE,NONE,"W,Li;H,Liu;",NONE,CS,,,66303,,,361
,NONE,NONE,"L,Lai;H,Liu;",NONE,CS,,,66304,,,361
,NONE,NONE,"H,Liu;T,Tan;",NONE,CS,,,66305,,,361
,NONE,NONE,"H,Liu;S,Zheng;",NONE,CS,,,76052,,,361
,NONE,NONE,"I,Cho;H,Liu;",NONE,CS,,,76054,,,361
h,NONE,3.52,"H,Liu;",NONE,CS,liu,,66298,,,361
,NONE,NONE,"S,Har-Peled;R,Kulkarni;",NONE,CS,,,70643,,,374
,NONE,NONE,"S,Har-Peled;A,Roe;",EXCELLENT,CS,,,70644,,True,374
,NONE,NONE,"C,Beideman;S,Har-Peled;",NONE,CS,,,70645,,,374
,NONE,NONE,"S,Har-Peled;R,Jain;",EXCELLENT,CS,,,72092,,True,374
,NONE,NONE,"S,Har-Peled;R,Jain;",EXCELLENT,CS,,,72094,,True,374
,NONE,NONE,"S,Har-Peled;Y,Yu;",NONE,CS,,,66451,,,374
,NONE,NONE,"S,Har-Peled;Q,He;",NONE,CS,,,72201,,,374
,NONE,NONE,"S,Har-Peled;S,Li;",NONE,CS,,,66453,,,374
,NONE,NONE,"S,Har-Peled;T,Mao;",NONE,CS,,,66455,,,374
,NONE,NONE,"S,Har-Peled;",NONE,CS,,,75939,,,374
s,NONE,3.02,"S,Har-Peled;",NONE,CS,har-peled,,66445,,,374
n,NONE,3.11,"N,Kani;A,Miller;",NONE,CS,kani,,70641,,,374
,NONE,NONE,"J,Huang;N,Kani;H,Shen;",NONE,CS,,,66446,,,374
,NONE,NONE,"J,Huang;N,Kani;H,Shen;",NONE,CS,,,66447,,,374
,NONE,NONE,"N,Balachandran;N,Bampton;N,Kani;",EXCELLENT,CS,,,66448,,True,374
,NONE,NONE,"N,Balachandran;N,Bampton;N,Kani;",EXCELLENT,CS,,,66449,,True,374
,NONE,NONE,"N,Balachandran;N,Bampton;N,Kani;",EXCELLENT,CS,,,66450,,True,374
,NONE,NONE,"J,Huang;N,Kani;H,Shen;",NONE,CS,,,66452,,,374
,NONE,NONE,"N,Kani;",NONE,CS,,,72090,,,374
,NONE,NONE,,NONE,CS,,,14855,,,397
,NONE,NONE,"T,Williams;",EXCELLENT,CS,,,75641,,False,400
,NONE,NONE,"T,Williams;",EXCELLENT,CS,,,75708,,False,400
,NONE,NONE,"Y,Gertner;",EXCELLENT,CS,,,75642,,False,401
,NONE,NONE,"Y,Gertner;",EXCELLENT,CS,,,75709,,False,401
,NONE,NONE,"D,Khurana;",EXCELLENT,CS,,,76149,,False,407
,NONE,NONE,"R,Kumar;",NONE,CS,,,77684,,,409
,NONE,NONE,"R,Kumar;",NONE,CS,,,76905,,,409
r,NONE,3.37,"R,Kumar;",NONE,CS,kumar,,76904,,,409
c,NONE,3.96,"C,Zhai;",NONE,CS,zhai,,67393,,,410
,NONE,NONE,"C,Zhai;",NONE,CS,,,73825,,,410
c,NONE,3.87,"C,Zhai;",NONE,CS,zhai,,73824,,,410
,NONE,NONE,"A,Alawini;",NONE,CS,,,75726,,,411
a,NONE,3.77,"A,Alawini;",NONE,CS,alawini,,75725,,,411
,NONE,NONE,"A,Alawini;",NONE,CS,,,72358,,,411
,NONE,NONE,"A,Alawini;",NONE,CS,,,40086,,,411
a,NONE,3.73,"A,Alawini;",NONE,CS,alawini,,30109,,,411
a,NONE,3.41,"A,Banerjee;",NONE,CS,banerjee,,48711,,,412
,NONE,NONE,"A,Banerjee;",NONE,CS,,,61986,,,412
,NONE,NONE,"A,Banerjee;",NONE,CS,,,43358,,,412
a,NONE,3.59,"A,Banerjee;",NONE,CS,banerjee,,43357,,,412
,NONE,NONE,,NONE,CS,,,33540,,,413
,NONE,NONE,,NONE,CS,,,39196,,,413
,NONE,NONE,"E,Shaffer;",NONE,CS,,,77100,,,415
e,NONE,3.94,"E,Shaffer;",NONE,CS,shaffer,,77099,,,415
l,NONE,3.59,"L,Tychonievich;",EXCELLENT,CS,tychonievich,,36119,,False,418
,NONE,NONE,"L,Tychonievich;",EXCELLENT,CS,,,36121,,False,418
,NONE,NONE,"R,Kanakagiri;",NONE,CS,,,53686,,,420
r,NONE,3.49,"R,Kanakagiri;",NONE,CS,kanakagiri,,53685,,,420
,NONE,NONE,"E,Gunter;",NONE,CS,,,72203,,,421
,NONE,NONE,"E,Gunter;",NONE,CS,,,40087,,,421
e,NONE,3.32,"E,Gunter;",NONE,CS,gunter,,30128,,,421
,NONE,NONE,"T,Xu;",NONE,CS,,,36115,,,423
t,NONE,3.83,"T,Xu;",NONE,CS,xu,,36113,,,423
,NONE,NONE,"T,Abdelzaher;",NONE,CS,,,51776,,,424
t,NONE,3.71,"T,Abdelzaher;",NONE,CS,abdelzaher,,51775,,,424
i,NONE,3.43,"I,Gupta;",NONE,CS,gupta,,67394,,,425
,NONE,NONE,"I,Gupta;",NONE,CS,,,69747,,,425
,NONE,NONE,"I,Gupta;",NONE,CS,,,48734,,,425
,NONE,NONE,"I,Gupta;",NONE,CS,,,72129,,,425
,NONE,NONE,"I,Gupta;",NONE,CS,,,57769,,,425
i,NONE,3.4,"I,Gupta;",NONE,CS,gupta,,36091,,,425
,NONE,NONE,"I,Gupta;",NONE,CS,,,72128,,,425
,NONE,NONE,"V,Adve;",NONE,CS,,,43356,,,426
v,NONE,3.35,"V,Adve;",NONE,CS,adve,,43355,,,426
r,NONE,3.62,"R,Jabbarvand Behrouz;L,Zhang;",NONE,CS,jabbarvand behr,,70960,,,427
r,NONE,3.75,"R,Jabbarvand Behrouz;L,Zhang;",NONE,CS,jabbarvand behr,,36104,,,427
,NONE,NONE,"R,Jabbarvand Behrouz;L,Zhang;",NONE,CS,,,36107,,,427
s,NONE,3.33,"S,Adve;F,Gressmann;",NONE,CS,adve,,36069,,,433
,NONE,NONE,"S,Adve;F,Gressmann;",NONE,CS,,,43363,,,433
p,NONE,3.61,"P,Godfrey;",NONE,CS,godfrey,,76265,,,435
,NONE,NONE,"P,Godfrey;",NONE,CS,,,76266,,,435
p,NONE,3.48,"P,Godfrey;",NONE,CS,godfrey,,76267,,,435
m,NONE,3.82,"M,Caesar;",NONE,CS,caesar,,75719,,,437
m,NONE,3.5,"M,Caesar;",NONE,CS,caesar,,75715,,,437
,NONE,NONE,"M,Caesar;",NONE,CS,,,75717,,,437
r,NONE,3.46,"R,Roy Choudhury;",NONE,CS,roy choudhury,,36061,,,438
,NONE,NONE,"R,Roy Choudhury;",NONE,CS,,,57772,,,438
,NONE,NONE,"R,Kravets;",EXCELLENT,CS,,,61199,,False,439
,NONE,NONE,"R,Kravets;",EXCELLENT,CS,,,61201,,False,439
m,NONE,3.26,"M,Fleck;",NONE,CS,fleck,,67003,,,440
,NONE,NONE,"M,Fleck;",NONE,CS,,,67004,,,440
,NONE,NONE,"M,Morales Aguirre;",NONE,CS,,,74468,,,441
m,NONE,3.75,"M,Morales Aguirre;",NONE,CS,morales aguirre,,74467,,,441
m,NONE,3.74,"M,Morales Aguirre;P,Robles Granda;",NONE,CS,morales aguirre,,74471,,,441
,NONE,NONE,,NONE,CS,,,78068,,,442
,NONE,NONE,"H,Zhao;",NONE,CS,,,77551,,,442
,NONE,NONE,"D,Hoiem;",NONE,CS,,,65087,,,445
d,NONE,3.57,"D,Hoiem;",NONE,CS,hoiem,,65086,,,445
l,NONE,3.49,"L,Gui;S,Wang;",NONE,CS,gui,,46792,,,446
,NONE,NONE,"L,Gui;S,Wang;",NONE,CS,,,46793,,,446
,NONE,NONE,"L,Gui;S,Wang;",NONE,CS,,,77676,,,446
l,NONE,3.41,"L,Gui;S,Wang;",NONE,CS,gui,,77674,,,446
j,NONE,3.55,"J,Hockenmaier;",NONE,CS,hockenmaier,,70473,,,447
j,NONE,3.57,"J,Hockenmaier;",NONE,CS,hockenmaier,,63292,,,447
,NONE,NONE,"J,Hockenmaier;",NONE,CS,,,63293,,,447
a,NONE,3.09,"A,Kloeckner;",NONE,CS,kloeckner,,36016,,,450
,NONE,NONE,"A,Kloeckner;",NONE,CS,,,36020,,,450
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,69008,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,69009,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,69010,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,69013,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,66966,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,66969,,,461
a,NONE,2.89,"A,Bates;L,Ren;",NONE,CS,bates,,49547,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,72159,,,461
,NONE,NONE,"A,Bates;L,Ren;",NONE,CS,,,50236,,,461
,NONE,NONE,"G,Wang;",NONE,CS,,,49551,,,463
,NONE,NONE,"G,Wang;",NONE,CS,,,49550,,,463
,NONE,NONE,"G,Wang;",NONE,CS,,,77849,,,463
c,NONE,3.6,"C,Gunter;",NONE,CS,gunter,,74739,,,464
,NONE,NONE,"B,Bailey;E,Hastings;",EXCELLENT,CS,,,67943,,True,465
,NONE,NONE,"B,Bailey;E,Hastings;",EXCELLENT,CS,,,67945,,True,465
,NONE,NONE,"B,Bailey;C,Yoder;",NONE,CS,,,67946,,,465
,NONE,NONE,"B,Bailey;W,Shi;",NONE,CS,,,67944,,,465
,NONE,NONE,"B,Bailey;M,Hassan;",EXCELLENT,CS,,,76292,,True,465
,NONE,NONE,"B,Bailey;W,Shi;",NONE,CS,,,67948,,,465
,NONE,NONE,"B,Bailey;M,Hassan;",EXCELLENT,CS,,,69398,,True,465
,NONE,NONE,"B,Bailey;",NONE,CS,,,72163,,,465
b,NONE,3.61,"B,Bailey;",NONE,CS,bailey,,43389,,,465
m,NONE,3.12,"M,El-Kebir;",NONE,CS,el-kebir,,51764,,,466
,NONE,NONE,"M,El-Kebir;",NONE,CS,,,51765,,,466
,NONE,NONE,"M,El-Kebir;",NONE,CS,,,77850,,,466
,NONE,NONE,"E,Maslowska;",NONE,CS,,,67895,,,468
,NONE,NONE,"H,Sundaram;",NONE,CS,,,77201,,,470
,NONE,NONE,"H,Sundaram;",NONE,CS,,,77200,,,470
j,NONE,3.28,"J,Erickson;",OUTSTANDING,CS,erickson,,70159,,False,473
,NONE,NONE,"J,Erickson;",OUTSTANDING,CS,,,72165,,False,473
,NONE,NONE,"J,Meseguer;",NONE,CS,,,35855,,,476
j,NONE,3.6,"J,Meseguer;",NONE,CS,meseguer,,35852,,,476
,NONE,NONE,"S,Jacobson;",NONE,CS,,,52040,,,481
,NONE,NONE,"S,Jacobson;",NONE,CS,,,58069,,,481
,NONE,NONE,"H,Haase;",NONE,CS,,,58793,,,483
,NONE,NONE,"S,Patel;",NONE,CS,,,73997,,,483
,NONE,NONE,"V,Kindratenko;",NONE,CS,,,76324,,,483
,NONE,NONE,"S,Patel;",NONE,CS,,,67070,,,483
,NONE,NONE,"M,Beckman;",NONE,CS,,,65816,,,491
,NONE,NONE,"M,Bashir;",EXCELLENT,CS,,,54321,,False,491
,NONE,NONE,"Y,Gertner;T,Williams;",EXCELLENT,CS,,,67520,,False,491
,NONE,NONE,"Y,Gertner;T,Williams;",EXCELLENT,CS,,,66834,,False,491
,NONE,NONE,"C,Lewis;",EXCELLENT,CS,,,40557,,False,491
,NONE,NONE,"M,Woodley;",NONE,CS,,,30139,,,492
,NONE,NONE,,NONE,CS,,,72830,,,497
,NONE,NONE,"C,Chekuri;",EXCELLENT,CS,,,63295,,False,498
,NONE,NONE,"C,Chekuri;",EXCELLENT,CS,,,63294,,False,498
,NONE,NONE,"E,Chandrasekharan;",NONE,CS,,,70185,,,498
,NONE,NONE,"E,Chandrasekharan;",NONE,CS,,,49193,,,498
,NONE,NONE,"E,Chandrasekharan;",NONE,CS,,,49192,,,498
,NONE,NONE,"G,Chowdhary;",NONE,CS,,,61482,,,498
,NONE,NONE,"G,Chowdhary;",NONE,CS,,,47171,,,498
g,NONE,3.78,"G,Chowdhary;",NONE,CS,chowdhary,,40094,,,498
,NONE,NONE,"H,Zhao;",NONE,CS,,,61457,,,498
,NONE,NONE,"H,Zhao;",NONE,CS,,,68912,,,498
,NONE,NONE,"H,Zhao;",NONE,CS,,,68911,,,498
,NONE,NONE,"R,Cunningham;",OUTSTANDING,CS,,,49838,,False,498
r,NONE,3.79,"R,Cunningham;",OUTSTANDING,CS,cunningham,,31535,,False,498
,NONE,NONE,,NONE,CS,,,10465,,,499
k,NONE,3.68,"K,Cunningham;G,Herman;",EXCELLENT,CS,cunningham,,75409,,False,500
y,NONE,3.9,"Y,Park;",EXCELLENT,CS,park,,50497,,False,511
h,NONE,3.25,"H,Tong;",NONE,CS,tong,,77189,,,512
,NONE,NONE,"H,Sundaram;",NONE,CS,,,78082,,,514
m,NONE,3.81,"M,Parthasarathy;G,Singh;",NONE,CS,parthasarathy,,77187,,,521
d,NONE,3.8,"D,Marinov;",NONE,CS,marinov,,35912,,,527
,NONE,NONE,"J,Torrellas;",NONE,CS,,,75454,,,534
,NONE,NONE,"K,Nahrstedt;",EXCELLENT,CS,,,75892,,False,537
m,NONE,3.79,"M,Telgarsky;",NONE,CS,telgarsky,,75414,,,540
n,NONE,3.73,"N,Jiang;",EXCELLENT,CS,jiang,,74766,,False,542
,NONE,NONE,"S,Lazebnik;",NONE,CS,,,37132,,,543
,NONE,NONE,"S,Lazebnik;",NONE,CS,,,76188,,,543
h,NONE,3.85,"H,Ji;",NONE,CS,ji,,74740,,,546
,NONE,NONE,"R,Sowers;",NONE,CS,,,72236,,,547
,NONE,NONE,"R,Sowers;",NONE,CS,,,77532,,,547
,NONE,NONE,"J,Hummel;",NONE,CS,,,48226,,,549
,NONE,NONE,"P,Fischer;",NONE,CS,,,55575,,,556
,NONE,NONE,"B,Li;",NONE,CS,,,75418,,,562
c,NONE,3.88,"C,Fletcher;",EXCELLENT,CS,fletcher,,54776,,False,563
,NONE,NONE,"J,Balogh;",NONE,CS,,,33563,,,571
r,NONE,3.33,"R,Mehta;",NONE,CS,mehta,,75420,,,580
,NONE,NONE,"T,Warnow;",NONE,CS,,,70702,,,581
,NONE,NONE,"D,Forsyth;",NONE,CS,,,75422,,,588
,NONE,NONE,"V,Adve;C,Mendis;",NONE,CS,,,35941,,,591
,NONE,NONE,"M,El-Kebir;T,Warnow;",NONE,CS,,,43832,,,591
,NONE,NONE,"S,Ghose;",NONE,CS,,,35945,,,591
,NONE,NONE,"K,Cunningham;G,Herman;C,Lewis;",NONE,CS,,,35962,,,591
,NONE,NONE,"N,Amato;L,Rauchwerger;",NONE,CS,,,35958,,,591
,NONE,NONE,"D,Forsyth;",NONE,CS,,,35939,,,591
,NONE,NONE,"C,Lewis;A,Wright;",NONE,CS,,,35980,,,591
,NONE,NONE,"I,Gupta;",NONE,CS,,,43828,,,591
,NONE,NONE,"L,Sha;",NONE,CS,,,58740,,,591
,NONE,NONE,"A,Kloeckner;L,Olson;",NONE,CS,,,35957,,,591
,NONE,NONE,"R,Kravets;V,Kudaligama;",NONE,CS,,,41977,,,591
,NONE,NONE,"R,Kravets;D,Marinov;",NONE,CS,,,35961,,,591
,NONE,NONE,"R,Jabbarvand Behrouz;T,Xu;L,Zhang;",NONE,CS,,,49716,,,591
,NONE,NONE,"R,Alagappan;A,Ganesan;I,Gupta;T,Xu;",NONE,CS,,,46060,,,591
,NONE,NONE,"M,Beckman;Y,Chen;B,Johnson;",NONE,CS,,,35986,,,591
,NONE,NONE,"M,Beckman;",NONE,CS,,,35951,,,591
,NONE,NONE,"E,Soltanaghai;",NONE,CS,,,76737,,,597
,NONE,NONE,,NONE,CS,,,76765,,,597
a,NONE,3.91,"A,Renear;",NONE,CS,renear,,69375,,,598
,NONE,NONE,"A,Ganesan;",OUTSTANDING,CS,,,49223,,False,598
,NONE,NONE,"B,Ray Chaudhury;",EXCELLENT,CS,,,52616,,False,598
,NONE,NONE,"R,Farivar;V,Kudaligama;",NONE,CS,,,49221,,,598
,NONE,NONE,"C,Mendis;",EXCELLENT,CS,,,46988,,False,598
,NONE,NONE,"P,Delgosha;",NONE,CS,,,70734,,,598
,NONE,NONE,"D,Heath;",NONE,CS,,,58261,,,598
,NONE,NONE,"E,Soltanaghai;",NONE,CS,,,64615,,,598
,NONE,NONE,"G,Chacko;",NONE,CS,,,43665,,,598
,NONE,NONE,"R,Mittal;",EXCELLENT,CS,,,49222,,False,598
j,NONE,3.74,"J,Han;",EXCELLENT,CS,han,,70878,,False,598
,NONE,NONE,"K,Hauser;",NONE,CS,,,72124,,,598
y,NONE,3.96,"Y,Wang;",NONE,CS,wang,,40107,,,598
,NONE,NONE,"L,Rauchwerger;",NONE,CS,,,55918,,,598
f,NONE,3.8,"F,Liang;",NONE,CS,liang,,70683,,,598
,NONE,NONE,"R,Alagappan;",EXCELLENT,CS,,,49224,,False,598
,NONE,NONE,"S,Gupta;",NONE,CS,,,59671,,,598
,NONE,NONE,"L,Olson;",EXCELLENT,CS,,,43668,,False,598
,NONE,NONE,"T,Ringer;",NONE,CS,,,59663,,,598
,NONE,NONE,"T,Chan;",EXCELLENT,CS,,,70199,,False,598
,NONE,NONE,"C,Cobb;",NONE,CS,,,66318,,,598
,NONE,NONE,,NONE,CS,,,76764,,,599
,NONE,NONE,"A,Kloeckner;",NONE,CSE,,,36034,,,401
,NONE,NONE,"A,Kloeckner;",NONE,CSE,,,36032,,,401
,NONE,NONE,"R,Kanakagiri;",NONE,CSE,,,53688,,,402
,NONE,NONE,"R,Kanakagiri;",NONE,CSE,,,53687,,,402
,NONE,NONE,"H,Haase;",NONE,CSE,,,64288,,,408
,NONE,NONE,"S,Patel;",NONE,CSE,,,73998,,,408
,NONE,NONE,"V,Kindratenko;",NONE,CSE,,,76325,,,408
,NONE,NONE,"S,Patel;",NONE,CSE,,,67071,,,408
,NONE,NONE,"J,Erickson;",NONE,CSE,,,70170,,,414
,NONE,NONE,"J,Erickson;",NONE,CSE,,,72228,,,414
,NONE,NONE,"S,Adve;F,Gressmann;",NONE,CSE,,,36083,,,422
,NONE,NONE,"S,Adve;F,Gressmann;",NONE,CSE,,,43364,,,422
,NONE,NONE,"T,Xu;",NONE,CSE,,,59051,,,423
,NONE,NONE,"T,Xu;",NONE,CSE,,,59050,,,423
,NONE,NONE,"R,Jabbarvand Behrouz;L,Zhang;",NONE,CSE,,,36110,,,426
,NONE,NONE,"R,Jabbarvand Behrouz;L,Zhang;",NONE,CSE,,,36112,,,426
,NONE,NONE,"L,Tychonievich;",NONE,CSE,,,36122,,,427
,NONE,NONE,"L,Tychonievich;",NONE,CSE,,,36124,,,427
,NONE,NONE,"S,Wang;",NONE,CSE,,,66539,,,428
,NONE,NONE,"S,Wang;",NONE,CSE,,,66541,,,428
,NONE,NONE,"C,Kinson;",NONE,CSE,,,65101,,,440
,NONE,NONE,"C,Kinson;",NONE,CSE,,,65102,,,440
,NONE,NONE,"C,Kinson;",NONE,CSE,,,65103,,,440
,NONE,NONE,"C,Kinson;",NONE,CSE,,,65104,,,440
,NONE,NONE,"F,Kamalabadi;",NONE,CSE,,,70865,,,441
,NONE,NONE,"F,Kamalabadi;",NONE,CSE,,,70866,,,441
,NONE,NONE,"D,Glosemeyer;",NONE,CSE,,,66556,,,448
,NONE,NONE,"D,Glosemeyer;",NONE,CSE,,,70264,,,448
,NONE,NONE,"B,Mercer;",NONE,CSE,,,35031,,,450
,NONE,NONE,"B,Mercer;",NONE,CSE,,,41371,,,450
,NONE,NONE,"H,Chew;",NONE,CSE,,,36852,,,451
,NONE,NONE,"H,Chew;",NONE,CSE,,,62979,,,451
,NONE,NONE,"H,Chew;",NONE,CSE,,,59127,,,451
,NONE,NONE,"L,Wagner;",NONE,CSE,,,64703,,,485
,NONE,NONE,"L,Wagner;",NONE,CSE,,,64706,,,485
,NONE,NONE,"S,Maslov;",NONE,CSE,,,73975,,,505
,NONE,NONE,"P,Fischer;",NONE,CSE,,,55576,,,511
,NONE,NONE,"J,Huang;Y,Xue;",NONE,CSE,,,73996,,,521
,NONE,NONE,"J,Huang;Y,Xue;",NONE,CSE,,,37016,,,521
,NONE,NONE,"S,Wang;",NONE,CSE,,,77404,,,525
,NONE,NONE,"F,Liang;",NONE,CSE,,,65112,,,542
,NONE,NONE,"F,Liang;",NONE,CSE,,,70266,,,542
,NONE,NONE,"A,Masud;",NONE,CSE,,,56788,,,552
,NONE,NONE,"A,Masud;",NONE,CSE,,,73833,,,552
,NONE,NONE,"C,Kempf;",OUTSTANDING,CW,,,67101,,False,100
j,NONE,3.82,"J,Price;",OUTSTANDING,CW,price,,77317,,False,100
j,NONE,3.58,"J,Dudek;",EXCELLENT,CW,dudek,,63285,,False,100
k,NONE,3.26,"K,Emmert;",EXCELLENT,CW,emmert,,71425,,False,100
,NONE,NONE,"N,Sannes;",EXCELLENT,CW,,,45273,,True,104
,NONE,NONE,"E,Hoffman;",OUTSTANDING,CW,,,45268,,True,104
,NONE,NONE,"J,Rubins;",EXCELLENT,CW,,,45271,,False,104
,NONE,NONE,"A,Sielicki;",EXCELLENT,CW,,,47655,,True,104
,NONE,NONE,"J,Canipe;",NONE,CW,,,45269,,,104
,NONE,NONE,"J,Price;",OUTSTANDING,CW,,,50343,,False,106
,NONE,NONE,"C,Van Landingham;",OUTSTANDING,CW,,,45276,,False,106
,NONE,NONE,"A,Garcia;",EXCELLENT,CW,,,45277,,False,106
,NONE,NONE,"Z,Simon;",EXCELLENT,CW,,,45274,,True,106
,NONE,NONE,"A,Garcia;",NONE,CW,,,74521,,,199
w,NONE,3.26,"W,Morrow;",EXCELLENT,CW,morrow,,61647,,True,200
,NONE,NONE,"J,Rubins;",NONE,CW,,,57710,,,204
,NONE,NONE,"A,Hassinger;",EXCELLENT,CW,,,45280,,False,204
,NONE,NONE,"A,Bales;",EXCELLENT,CW,,,45279,,False,204
,NONE,NONE,"J,Harrington;",EXCELLENT,CW,,,54259,,False,206
,NONE,NONE,"J,Price;",OUTSTANDING,CW,,,45282,,False,208
,NONE,NONE,"Z,McVicker;",NONE,CW,,,61787,,,243
,NONE,NONE,"J,Rubins;",NONE,CW,,,45284,,,404
,NONE,NONE,"J,Rubins;",NONE,CW,,,45283,,,404
,NONE,NONE,"A,Hassinger;",EXCELLENT,CW,,,45286,,False,404
